pokedex_no,pokedex_link,img_link2,name,variant,type,type2,gen
262,/wiki/Mightyena_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f1/262Mightyena.png/70px-262Mightyena.png,Mightyena,,Dark,Dark,3
263,/wiki/Zigzagoon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/47/263Zigzagoon.png/70px-263Zigzagoon.png,Zigzagoon,,Normal,Normal,3
NA,/wiki/Zigzagoon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b0/263Zigzagoon-Galar.png/70px-263Zigzagoon-Galar.png,Zigzagoon,Galarian Form,Dark,Normal,3
264,/wiki/Linoone_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f7/264Linoone.png/70px-264Linoone.png,Linoone,,Normal,Normal,3
NA,/wiki/Linoone_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8e/264Linoone-Galar.png/70px-264Linoone-Galar.png,Linoone,Galarian Form,Dark,Normal,3
265,/wiki/Wurmple_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/76/265Wurmple.png/70px-265Wurmple.png,Wurmple,,Bug,Bug,3
266,/wiki/Silcoon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/ef/266Silcoon.png/70px-266Silcoon.png,Silcoon,,Bug,Bug,3
267,/wiki/Beautifly_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4c/267Beautifly.png/70px-267Beautifly.png,Beautifly,,Bug,Flying,3
268,/wiki/Cascoon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a3/268Cascoon.png/70px-268Cascoon.png,Cascoon,,Bug,Bug,3
269,/wiki/Dustox_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/34/269Dustox.png/70px-269Dustox.png,Dustox,,Bug,Poison,3
270,/wiki/Lotad_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/ee/270Lotad.png/70px-270Lotad.png,Lotad,,Water,Grass,3
271,/wiki/Lombre_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8b/271Lombre.png/70px-271Lombre.png,Lombre,,Water,Grass,3
272,/wiki/Ludicolo_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/ff/272Ludicolo.png/70px-272Ludicolo.png,Ludicolo,,Water,Grass,3
273,/wiki/Seedot_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/84/273Seedot.png/70px-273Seedot.png,Seedot,,Grass,Grass,3
274,/wiki/Nuzleaf_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/07/274Nuzleaf.png/70px-274Nuzleaf.png,Nuzleaf,,Grass,Dark,3
275,/wiki/Shiftry_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f7/275Shiftry.png/70px-275Shiftry.png,Shiftry,,Grass,Dark,3
276,/wiki/Taillow_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e4/276Taillow.png/70px-276Taillow.png,Taillow,,Normal,Flying,3
277,/wiki/Swellow_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/45/277Swellow.png/70px-277Swellow.png,Swellow,,Normal,Flying,3
278,/wiki/Wingull_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/39/278Wingull.png/70px-278Wingull.png,Wingull,,Water,Flying,3
279,/wiki/Pelipper_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f2/279Pelipper.png/70px-279Pelipper.png,Pelipper,,Water,Flying,3
280,/wiki/Ralts_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e1/280Ralts.png/70px-280Ralts.png,Ralts,,Psychic,Fairy,3
281,/wiki/Kirlia_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/00/281Kirlia.png/70px-281Kirlia.png,Kirlia,,Psychic,Fairy,3
282,/wiki/Gardevoir_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/99/282Gardevoir.png/70px-282Gardevoir.png,Gardevoir,,Psychic,Fairy,3
283,/wiki/Surskit_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f6/283Surskit.png/70px-283Surskit.png,Surskit,,Bug,Water,3
284,/wiki/Masquerain_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/0a/284Masquerain.png/70px-284Masquerain.png,Masquerain,,Bug,Flying,3
285,/wiki/Shroomish_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d8/285Shroomish.png/70px-285Shroomish.png,Shroomish,,Grass,Grass,3
286,/wiki/Breloom_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/de/286Breloom.png/70px-286Breloom.png,Breloom,,Grass,Fighting,3
287,/wiki/Slakoth_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d2/287Slakoth.png/70px-287Slakoth.png,Slakoth,,Normal,Normal,3
288,/wiki/Vigoroth_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/61/288Vigoroth.png/70px-288Vigoroth.png,Vigoroth,,Normal,Normal,3
289,/wiki/Slaking_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/71/289Slaking.png/70px-289Slaking.png,Slaking,,Normal,Normal,3
290,/wiki/Nincada_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/90/290Nincada.png/70px-290Nincada.png,Nincada,,Bug,Ground,3
291,/wiki/Ninjask_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/76/291Ninjask.png/70px-291Ninjask.png,Ninjask,,Bug,Flying,3
292,/wiki/Shedinja_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/59/292Shedinja.png/70px-292Shedinja.png,Shedinja,,Bug,Ghost,3
293,/wiki/Whismur_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/6c/293Whismur.png/70px-293Whismur.png,Whismur,,Normal,Normal,3
294,/wiki/Loudred_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/12/294Loudred.png/70px-294Loudred.png,Loudred,,Normal,Normal,3
295,/wiki/Exploud_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/12/295Exploud.png/70px-295Exploud.png,Exploud,,Normal,Normal,3
296,/wiki/Makuhita_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b6/296Makuhita.png/70px-296Makuhita.png,Makuhita,,Fighting,Fighting,3
297,/wiki/Hariyama_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/6f/297Hariyama.png/70px-297Hariyama.png,Hariyama,,Fighting,Fighting,3
298,/wiki/Azurill_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/ac/298Azurill.png/70px-298Azurill.png,Azurill,,Normal,Fairy,3
299,/wiki/Nosepass_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/89/299Nosepass.png/70px-299Nosepass.png,Nosepass,,Rock,Rock,3
300,/wiki/Skitty_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8a/300Skitty.png/70px-300Skitty.png,Skitty,,Normal,Normal,3
301,/wiki/Delcatty_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f4/301Delcatty.png/70px-301Delcatty.png,Delcatty,,Normal,Normal,3
302,/wiki/Sableye_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d3/302Sableye.png/70px-302Sableye.png,Sableye,,Dark,Ghost,3
303,/wiki/Mawile_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c0/303Mawile.png/70px-303Mawile.png,Mawile,,Steel,Fairy,3
304,/wiki/Aron_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bb/304Aron.png/70px-304Aron.png,Aron,,Steel,Rock,3
305,/wiki/Lairon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bf/305Lairon.png/70px-305Lairon.png,Lairon,,Steel,Rock,3
306,/wiki/Aggron_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/6d/306Aggron.png/70px-306Aggron.png,Aggron,,Steel,Rock,3
307,/wiki/Meditite_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/71/307Meditite.png/70px-307Meditite.png,Meditite,,Fighting,Psychic,3
308,/wiki/Medicham_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/05/308Medicham.png/70px-308Medicham.png,Medicham,,Fighting,Psychic,3
309,/wiki/Electrike_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/47/309Electrike.png/70px-309Electrike.png,Electrike,,Electric,Electric,3
310,/wiki/Manectric_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bb/310Manectric.png/70px-310Manectric.png,Manectric,,Electric,Electric,3
311,/wiki/Plusle_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a3/311Plusle.png/70px-311Plusle.png,Plusle,,Electric,Electric,3
312,/wiki/Minun_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e7/312Minun.png/70px-312Minun.png,Minun,,Electric,Electric,3
313,/wiki/Volbeat_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d6/313Volbeat.png/70px-313Volbeat.png,Volbeat,,Bug,Bug,3
314,/wiki/Illumise_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/55/314Illumise.png/70px-314Illumise.png,Illumise,,Bug,Bug,3
315,/wiki/Roselia_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f1/315Roselia.png/70px-315Roselia.png,Roselia,,Grass,Poison,3
316,/wiki/Gulpin_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f0/316Gulpin.png/70px-316Gulpin.png,Gulpin,,Poison,Poison,3
317,/wiki/Swalot_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/ad/317Swalot.png/70px-317Swalot.png,Swalot,,Poison,Poison,3
318,/wiki/Carvanha_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/98/318Carvanha.png/70px-318Carvanha.png,Carvanha,,Water,Dark,3
319,/wiki/Sharpedo_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a8/319Sharpedo.png/70px-319Sharpedo.png,Sharpedo,,Water,Dark,3
320,/wiki/Wailmer_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/71/320Wailmer.png/70px-320Wailmer.png,Wailmer,,Water,Water,3
321,/wiki/Wailord_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b9/321Wailord.png/70px-321Wailord.png,Wailord,,Water,Water,3
322,/wiki/Numel_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c6/322Numel.png/70px-322Numel.png,Numel,,Fire,Ground,3
323,/wiki/Camerupt_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/7d/323Camerupt.png/70px-323Camerupt.png,Camerupt,,Fire,Ground,3
324,/wiki/Torkoal_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3b/324Torkoal.png/70px-324Torkoal.png,Torkoal,,Fire,Fire,3
325,/wiki/Spoink_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/9e/325Spoink.png/70px-325Spoink.png,Spoink,,Psychic,Psychic,3
326,/wiki/Grumpig_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/54/326Grumpig.png/70px-326Grumpig.png,Grumpig,,Psychic,Psychic,3
327,/wiki/Spinda_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8f/327Spinda.png/70px-327Spinda.png,Spinda,,Normal,Normal,3
328,/wiki/Trapinch_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/76/328Trapinch.png/70px-328Trapinch.png,Trapinch,,Ground,Ground,3
329,/wiki/Vibrava_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/af/329Vibrava.png/70px-329Vibrava.png,Vibrava,,Ground,Dragon,3
330,/wiki/Flygon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f1/330Flygon.png/70px-330Flygon.png,Flygon,,Ground,Dragon,3
331,/wiki/Cacnea_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/12/331Cacnea.png/70px-331Cacnea.png,Cacnea,,Grass,Grass,3
332,/wiki/Cacturne_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/41/332Cacturne.png/70px-332Cacturne.png,Cacturne,,Grass,Dark,3
333,/wiki/Swablu_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/99/333Swablu.png/70px-333Swablu.png,Swablu,,Normal,Flying,3
334,/wiki/Altaria_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/da/334Altaria.png/70px-334Altaria.png,Altaria,,Dragon,Flying,3
335,/wiki/Zangoose_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d3/335Zangoose.png/70px-335Zangoose.png,Zangoose,,Normal,Normal,3
336,/wiki/Seviper_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d6/336Seviper.png/70px-336Seviper.png,Seviper,,Poison,Poison,3
337,/wiki/Lunatone_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/eb/337Lunatone.png/70px-337Lunatone.png,Lunatone,,Rock,Psychic,3
338,/wiki/Solrock_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/90/338Solrock.png/70px-338Solrock.png,Solrock,,Rock,Psychic,3
339,/wiki/Barboach_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/60/339Barboach.png/70px-339Barboach.png,Barboach,,Water,Ground,3
340,/wiki/Whiscash_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/60/340Whiscash.png/70px-340Whiscash.png,Whiscash,,Water,Ground,3
341,/wiki/Corphish_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3d/341Corphish.png/70px-341Corphish.png,Corphish,,Water,Water,3
342,/wiki/Crawdaunt_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f4/342Crawdaunt.png/70px-342Crawdaunt.png,Crawdaunt,,Water,Dark,3
343,/wiki/Baltoy_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8b/343Baltoy.png/70px-343Baltoy.png,Baltoy,,Ground,Psychic,3
344,/wiki/Claydol_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/07/344Claydol.png/70px-344Claydol.png,Claydol,,Ground,Psychic,3
345,/wiki/Lileep_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/34/345Lileep.png/70px-345Lileep.png,Lileep,,Rock,Grass,3
346,/wiki/Cradily_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/38/346Cradily.png/70px-346Cradily.png,Cradily,,Rock,Grass,3
347,/wiki/Anorith_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/45/347Anorith.png/70px-347Anorith.png,Anorith,,Rock,Bug,3
348,/wiki/Armaldo_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/1d/348Armaldo.png/70px-348Armaldo.png,Armaldo,,Rock,Bug,3
349,/wiki/Feebas_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4b/349Feebas.png/70px-349Feebas.png,Feebas,,Water,Water,3
350,/wiki/Milotic_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/36/350Milotic.png/70px-350Milotic.png,Milotic,,Water,Water,3
351,/wiki/Castform_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f3/351Castform.png/70px-351Castform.png,Castform,Normal,Normal,Normal,3
NA,/wiki/Castform_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b6/351Castform-Sunny.png/70px-351Castform-Sunny.png,Castform,Sunny Form,Fire,Fire,3
NA,/wiki/Castform_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/89/351Castform-Rainy.png/70px-351Castform-Rainy.png,Castform,Rainy Form,Water,Water,3
NA,/wiki/Castform_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f9/351Castform-Snowy.png/70px-351Castform-Snowy.png,Castform,Snowy Form,Ice,Ice,3
352,/wiki/Kecleon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/50/352Kecleon.png/70px-352Kecleon.png,Kecleon,,Normal,Normal,3
353,/wiki/Shuppet_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4b/353Shuppet.png/70px-353Shuppet.png,Shuppet,,Ghost,Ghost,3
354,/wiki/Banette_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/0a/354Banette.png/70px-354Banette.png,Banette,,Ghost,Ghost,3
355,/wiki/Duskull_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e2/355Duskull.png/70px-355Duskull.png,Duskull,,Ghost,Ghost,3
356,/wiki/Dusclops_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/12/356Dusclops.png/70px-356Dusclops.png,Dusclops,,Ghost,Ghost,3
357,/wiki/Tropius_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/dd/357Tropius.png/70px-357Tropius.png,Tropius,,Grass,Flying,3
358,/wiki/Chimecho_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e5/358Chimecho.png/70px-358Chimecho.png,Chimecho,,Psychic,Psychic,3
359,/wiki/Absol_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/00/359Absol.png/70px-359Absol.png,Absol,,Dark,Dark,3
360,/wiki/Wynaut_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d0/360Wynaut.png/70px-360Wynaut.png,Wynaut,,Psychic,Psychic,3
361,/wiki/Snorunt_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/6b/361Snorunt.png/70px-361Snorunt.png,Snorunt,,Ice,Ice,3
362,/wiki/Glalie_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/62/362Glalie.png/70px-362Glalie.png,Glalie,,Ice,Ice,3
363,/wiki/Spheal_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/9f/363Spheal.png/70px-363Spheal.png,Spheal,,Ice,Water,3
364,/wiki/Sealeo_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f6/364Sealeo.png/70px-364Sealeo.png,Sealeo,,Ice,Water,3
365,/wiki/Walrein_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/61/365Walrein.png/70px-365Walrein.png,Walrein,,Ice,Water,3
366,/wiki/Clamperl_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/11/366Clamperl.png/70px-366Clamperl.png,Clamperl,,Water,Water,3
367,/wiki/Huntail_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/11/367Huntail.png/70px-367Huntail.png,Huntail,,Water,Water,3
368,/wiki/Gorebyss_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/37/368Gorebyss.png/70px-368Gorebyss.png,Gorebyss,,Water,Water,3
369,/wiki/Relicanth_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/78/369Relicanth.png/70px-369Relicanth.png,Relicanth,,Water,Rock,3
370,/wiki/Luvdisc_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/1d/370Luvdisc.png/70px-370Luvdisc.png,Luvdisc,,Water,Water,3
371,/wiki/Bagon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d2/371Bagon.png/70px-371Bagon.png,Bagon,,Dragon,Dragon,3
372,/wiki/Shelgon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a5/372Shelgon.png/70px-372Shelgon.png,Shelgon,,Dragon,Dragon,3
373,/wiki/Salamence_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/41/373Salamence.png/70px-373Salamence.png,Salamence,,Dragon,Flying,3
374,/wiki/Beldum_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d4/374Beldum.png/70px-374Beldum.png,Beldum,,Steel,Psychic,3
375,/wiki/Metang_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/62/375Metang.png/70px-375Metang.png,Metang,,Steel,Psychic,3
376,/wiki/Metagross_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/05/376Metagross.png/70px-376Metagross.png,Metagross,,Steel,Psychic,3
377,/wiki/Regirock_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/aa/377Regirock.png/70px-377Regirock.png,Regirock,,Rock,Rock,3
378,/wiki/Regice_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/fe/378Regice.png/70px-378Regice.png,Regice,,Ice,Ice,3
379,/wiki/Registeel_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/22/379Registeel.png/70px-379Registeel.png,Registeel,,Steel,Steel,3
380,/wiki/Latias_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/24/380Latias.png/70px-380Latias.png,Latias,,Dragon,Psychic,3
381,/wiki/Latios_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/52/381Latios.png/70px-381Latios.png,Latios,,Dragon,Psychic,3
382,/wiki/Kyogre_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/41/382Kyogre.png/70px-382Kyogre.png,Kyogre,Kyogre,Water,Water,3
383,/wiki/Groudon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/70/383Groudon.png/70px-383Groudon.png,Groudon,Groudon,Ground,Ground,3
384,/wiki/Rayquaza_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e4/384Rayquaza.png/70px-384Rayquaza.png,Rayquaza,,Dragon,Flying,3
385,/wiki/Jirachi_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/85/385Jirachi.png/70px-385Jirachi.png,Jirachi,,Steel,Psychic,3
386,/wiki/Deoxys_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e7/386Deoxys.png/70px-386Deoxys.png,Deoxys,Normal Forme,Psychic,Psychic,3
NA,/wiki/Deoxys_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d8/386Deoxys-Attack.png/70px-386Deoxys-Attack.png,Deoxys,Attack Forme,Psychic,Psychic,3
NA,/wiki/Deoxys_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cc/386Deoxys-Defense.png/70px-386Deoxys-Defense.png,Deoxys,Defense Forme,Psychic,Psychic,3
NA,/wiki/Deoxys_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/2b/386Deoxys-Speed.png/70px-386Deoxys-Speed.png,Deoxys,Speed Forme,Psychic,Psychic,3
387,/wiki/Turtwig_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/5c/387Turtwig.png/70px-387Turtwig.png,Turtwig,,Grass,Grass,4
388,/wiki/Grotle_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/53/388Grotle.png/70px-388Grotle.png,Grotle,,Grass,Grass,4
389,/wiki/Torterra_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/df/389Torterra.png/70px-389Torterra.png,Torterra,,Grass,Ground,4
390,/wiki/Chimchar_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/76/390Chimchar.png/70px-390Chimchar.png,Chimchar,,Fire,Fire,4
391,/wiki/Monferno_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/2e/391Monferno.png/70px-391Monferno.png,Monferno,,Fire,Fighting,4
392,/wiki/Infernape_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/fb/392Infernape.png/70px-392Infernape.png,Infernape,,Fire,Fighting,4
393,/wiki/Piplup_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b1/393Piplup.png/70px-393Piplup.png,Piplup,,Water,Water,4
394,/wiki/Prinplup_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/df/394Prinplup.png/70px-394Prinplup.png,Prinplup,,Water,Water,4
395,/wiki/Empoleon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/7f/395Empoleon.png/70px-395Empoleon.png,Empoleon,,Water,Steel,4
396,/wiki/Starly_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/af/396Starly.png/70px-396Starly.png,Starly,,Normal,Flying,4
397,/wiki/Staravia_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f8/397Staravia.png/70px-397Staravia.png,Staravia,,Normal,Flying,4
398,/wiki/Staraptor_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/5e/398Staraptor.png/70px-398Staraptor.png,Staraptor,,Normal,Flying,4
399,/wiki/Bidoof_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f5/399Bidoof.png/70px-399Bidoof.png,Bidoof,,Normal,Normal,4
400,/wiki/Bibarel_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/91/400Bibarel.png/70px-400Bibarel.png,Bibarel,,Normal,Water,4
401,/wiki/Kricketot_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/33/401Kricketot.png/70px-401Kricketot.png,Kricketot,,Bug,Bug,4
402,/wiki/Kricketune_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e5/402Kricketune.png/70px-402Kricketune.png,Kricketune,,Bug,Bug,4
403,/wiki/Shinx_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/32/403Shinx.png/70px-403Shinx.png,Shinx,,Electric,Electric,4
404,/wiki/Luxio_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/49/404Luxio.png/70px-404Luxio.png,Luxio,,Electric,Electric,4
405,/wiki/Luxray_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a7/405Luxray.png/70px-405Luxray.png,Luxray,,Electric,Electric,4
406,/wiki/Budew_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d3/406Budew.png/70px-406Budew.png,Budew,,Grass,Poison,4
407,/wiki/Roserade_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/05/407Roserade.png/70px-407Roserade.png,Roserade,,Grass,Poison,4
408,/wiki/Cranidos_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cd/408Cranidos.png/70px-408Cranidos.png,Cranidos,,Rock,Rock,4
409,/wiki/Rampardos_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8a/409Rampardos.png/70px-409Rampardos.png,Rampardos,,Rock,Rock,4
